title,link,upname,cover,duration,views,barrage
【光与影33号远征队】拓海的入坑指南,https://www.bilibili.com/video/BV1GyLazqEUd,拓海Sama,https://i2.hdslb.com/bfs/archive/7af3c38d9209237c8cc4c896179478e7a258fe5c.jpg@672w_378h_1c_!web-home-common-cover,27:49,43.3万,1005
【PLAYLIST】｜傍晚城市电台｜强节奏鼓点R&B歌单｜律动｜放松｜缓解压力,https://www.bilibili.com/video/BV1fY7GzFExM,Overdriver音乐电台,https://i2.hdslb.com/bfs/archive/5e4a1d2730479d730171016f35acd4eab463aa4e.jpg@672w_378h_1c_!web-home-common-cover,27:49,43.3万,1005
玩家要啥他给啥！某些高级审美则翻车了【绅批】,https://www.bilibili.com/video/BV1ydJnzPEsU,老绅video,https://i2.hdslb.com/bfs/archive/a5375900144cccc247db1677fa6b65203b43be14.jpg@672w_378h_1c_!web-home-common-cover,27:49,43.3万,1005
亚当 兰伯特｜《Another One Bites the Dust》,https://www.bilibili.com/video/BV1hyTHz7EPC,AdamLambert_CN,https://i2.hdslb.com/bfs/archive/7afba8e034bf342c38418509f8e2fd66f981c775.jpg@672w_378h_1c_!web-home-common-cover,27:49,43.3万,1005
【思辨与立场】你永远感受不到认知外的幸福，如何调整视角，找寻人生意义,https://www.bilibili.com/video/BV1vqJ3zxE7z,非专业牛仔,https://i2.hdslb.com/bfs/archive/d33ab3fb2e0a6fbbbb2c5260559bc57b15519797.jpg@672w_378h_1c_!web-home-common-cover,27:49,43.3万,1005
【虚幻5】UE5美学创作从入门到进阶课，招生了！,//cm.bilibili.com/cm/api/fees/pc/sync/v2?msg=a%7C5614%2Cb%7Cbilibili%2Cc%7C1%2Cd%7C0%2Ce%7CCKLjyQQQo8mnFhiD0%2F9XIKQBKAEw%2Bat9OO4rQh8xNzQ5NDgyMjY0ODY4cTE3MmEyNWExMjlhMThxNzQySKSyk6r1MlIG6ZW%2F5rKZWgbmuZbljZdiBuS4reWbvWgBcAB4gICAgKAmgAEBiAEAkgENNTguMjAuMTI2LjIxOKABpQGoARyyASBReH2g4lAPNfDubfwkm2Kr33Q%2BEoYCh6tJJfTUmNkwT7oB%2FQNodHRwczovL3d3dy5iaWxpYmlsaS5jb20vdmlkZW8vQlYxZEZCZVlzRVVXP3RyYWNraWQ9d2ViX3BlZ2FzdXNfMy5yb3V0ZXItd2ViLXBlZ2FzdXMtMjA4MTI1OC05NzljZmI2YzYtbGg5ZzkuMTc0OTQ4MjI2NDg2MS4xOTUmdHJhY2tfaWQ9cGJhZXMuczgzazhZM3FHQURaYlJWM2J4a0VGQnFqNTVxbTJMZXpNdXBLZVN1bXpGbUd5aGNkZHJ2Ym1HT0VlOF9SeGlKbnRibWtzZk9wcGUyWWNZQm1wOFRrVi1HVVNCZlpPTXBDUnBLOFptOWJyVFloTUxGUmNLV1BiU3FjZm9QNE51Sjc0R29udGtWVWkxQTJkWXBranFXV1pNYzRZTzFhQzhFdHNUM3A3M2lzQl9uU1J4NmJFS3N5QkQ0Q2w0R251dng3JmNhaWQ9X19DQUlEX18mcmVzb3VyY2VfaWQ9X19SRVNPVVJDRUlEX18mc291cmNlX2lkPTU2MTQmZnJvbV9zcG1pZD1fX0ZST01TUE1JRF9fJnJlcXVlc3RfaWQ9MTc0OTQ4MjI2NDg2OHExNzJhMjVhMTI5YTE4cTc0MiZjcmVhdGl2ZV9pZD0xODQ1NDM2MTkmbGlua2VkX2NyZWF0aXZlX2lkPTE4NDU0MzYxOcIBAjQ50gEA2AGyAuAB8JMJ6AHwogTwAQD4AaQBgAI9iAIAkgIAmAKVvPUBoAKetgKoArivBbACsQO4AgDAAsCaDMgCnQTqAgD4Ap2sAYgDGZIDAKgDALADALgDAMgDANIDzQF7IjEiOiIxODQ1NDM2MTkiLCIxMSI6IjIyOSIsIjEyIjoiNTYxNCIsIjEzIjoiOTk3NDQwIiwiMTQiOiIyNzUiLCIxNSI6IjMwNiIsIjE2IjoiOTk3NDQwXzIyMDQ1IiwiMiI6IjIwNTM2MjUiLCIyNCI6IjEiLCIzIjoiMjA1MzYyNSIsIjQiOiIzOCIsIjUiOiIzMjciLCI2IjoiMjA1MzYyNSIsIjciOiIxMTM1NDExMTc5MDk1NTAiLCI4IjoiMTg3OTI4MTExNiJ94AMA6AMA8AMA%2BgMFb3RoZXKCBAludWxsOm51bGyIBKUBkAQAoAQDqgQHCOvIkA4QBLgECsAEHtAEANgEAOIEyQE1Ni57InBzSWQiOjU5MjQzLCJ2MiI6IkExVnNBVDhTVXJxYVpJYVlFaC1PNjZOcFAtS1A1eFFyWXdTNFdCYUxrQWNTaU9JemhKYUNLeGtrdlZyTmVEaHgzejVKMFRxWnlndjVaVnZ1UmNaaW51N1IydDBscklOMjJHX2ZDNTNqVVQzeVJZWEpNMEVUVXV5QSJ9OzYzLnsicHNJZCI6NTkxOTEsInYyIjoiSkEifTs3MC57InBzSWQiOjU3NTI1LCJ2MiI6IkFBIn3oBADwBAD6BNIFeyJhY2NlbGVyYXRlX2ZhY3RvciI6MS4wLCJhY2NlbGVyYXRlX2lkIjowLCJhZF90eXBlX2ZpeCI6ImNwbSIsImFkdnZfaW5mbyI6IntcImFkanVzdF9iZWZvcmVfY29zdFwiOlwiMTY0LjE0MFwiLFwiYWRqdXN0X3JhdGlvXCI6XCIxLjAwMFwiLFwiYmFsYW5jZXJfaWRcIjowLFwiYmFsYW5jZXJfcmF0aW9cIjpcIjAuMDAwXCIsXCJjaGFyZ2VfZXhwX2tleV9kZXB0aFwiOlwiXCIsXCJjaGFyZ2VfZXhwX2tleV9saWdodFwiOlwiX2ZseV9jcGFfb25saW5lX2NoYXJnZThcIixcImNvc3RfZGlmZlwiOlwiMC4wMDBcIn0iLCJiaXpfdHlwZSI6MywiYml6X3R5cGVfZml4IjozLCJjcGEiOiJ7XCJjcGFfbGV2ZWxcIjoyLFwiY3BhX3NldFwiOjE0OTJ9IiwiY3BhVGFyZ2V0VHlwZSI6MzAsImZyb21UcmFja2lkIjoid2ViX3BlZ2FzdXNfMy5yb3V0ZXItd2ViLXBlZ2FzdXMtMjA4MTI1OC05NzljZmI2YzYtbGg5ZzkuMTc0OTQ4MjI2NDg2MS4xOTUiLCJpbm5lciI6MCwiaXNfY29tbWVyY2UiOjEsImlzX29jcGNfYW50b3Vfb2NwbSI6MCwibWluaV9nYW1lX2lkIjoiIiwibWluaV9nYW1lX3Bvc2l0aW9uX2lkIjoiIiwibW9kZWxTY29yZSI6IntcImN0clwiOlwiMjguMDIxOTY1XCIsXCJjdnJfbDBcIjpcIjU0MS44ODY1OTdcIixcImZpbmFsX3BjdHJcIjpcIjI4LjAyMTk2NVwiLFwiZmluYWxfcGN2clwiOlwiNTQxLjg4NjU5N1wifSIsInZpZGVvX3VwX21pZCI6MTg3OTI4MTExNn2ABQCQBSOQBTOQBUiQBVWQBWKQBXKQBYQBkAWGAZAFiAGQBYkBkAWsAZAFsQGQBbQBkAXIAZAF0AGQBdEBkAXYAZAF6AGQBfEBkAWOApAFmAKQBZoCkAWdApAFngKQBbMCkAW3ApAFwAKQBcICkAXFApAFywKQBcwCkAXOApAF0wKQBdYCkAXYApAF2QKQBdoCkAXcApAF3wKQBeECkAXjApAF5QKQBfACkAXxApAF9QKQBf8CkAWGA5AFjAOQBY0DkAWSA5AFkwOQBZQDkAWVA5AFmAOQBZkDkAWaA5AFmwOQBZwDkAWhA5AFogOQBaQDkAWlA5AFpwOQBbEDkAW2A5AFtwOQBcADkAXBA5AFxAOQBc0DkAXTA5AF1AOQBdcDkAXgA5AF4QOQBeQDkAXlA5AF6AOQBeoDkAXrA5AF8gOQBfMDkAX1A5AF9wOQBfgDkAX%2FA5AFgASQBYcEkAWJBJAFqwSQBa8EkAWwBJAFsQSQBbIEkAW0BJAFuASQBckEkAXLBJAFzQSQBd0EkAXlBJAFgwWQBaAFkAWqBZAFrwWQBbEFkAW1BZAFxgWQBc4FkAXSBZAF0wWQBdUFkAXvBZAF8wWQBY8GkAWYBpAFowaQBaYGkAWqBpAFsAaQBboGkAXaBpAF8AaQBfUGkAX5BpAF%2FwaQBY0HkAWTB5AFuweQBcIHkAXyB5AF9QeQBY8IkAW3CKAFrrSA0L3oGbgFHsAFwPA8yAUI4AUB6AUA%2Cf%7Cclick_sync_3%2Cg%7C1%2Ch%7C1%2Ci%7C%2Cj%7C%2Ck%7C1749482278750%2Cl%7C5636%2Cm%7C1749482278701%2Cn%7C1%2Co%7C0%2Cp%7Cad_card&ts=1749482278750,墨化科技,https://i2.hdslb.com/bfs/sycp/sanlian/image/d7456459a39746918fddfcbc3ac3dde0.jpeg@672w_378h_1c_!web-home-common-cover,27:49,43.3万,1005
飞机无人驾驶，乘客不省人事，揭秘“幽灵航班”的真相 - 太阳神航空522航班空难纪实,https://www.bilibili.com/video/BV1WMT4z7Efi,掣驰YEN,https://i2.hdslb.com/bfs/archive/c32e2a8a54402ad07ef3a1adcb6ac0b9d51e774e.jpg@672w_378h_1c_!web-home-common-cover,27:49,43.3万,1005
2025年了，为什么我们还在迷恋中式梦核？,https://www.bilibili.com/video/BV11wTszCENH,酷玩实验室,https://i2.hdslb.com/bfs/archive/c6219622b94181914198bca1e473e172bbaa31b5.jpg@672w_378h_1c_!web-home-common-cover,27:49,43.3万,1005
怎么不算标杆呢？12年前标杆级灾烂神片《天机富春山居图》全面回顾，喜剧效果拉满！,https://www.bilibili.com/video/BV1vdjvzSE4D,虫哥说电影,https://i2.hdslb.com/bfs/archive/d14d96da4e92c2d93f41f7e9a9473c9e9c9c59cf.jpg@672w_378h_1c_!web-home-common-cover,27:49,43.3万,1005
不管中医西医的，到底能治点病不，恐怕医学最终还得落在人文关怀上,https://www.bilibili.com/video/BV1D6T9zgEQJ,医学老师刘忠保,https://i2.hdslb.com/bfs/archive/0ef85ffd14be23cfdbaa8af1c79beeb2e584294d.jpg@672w_378h_1c_!web-home-common-cover,27:49,43.3万,1005
